symbol,rows,large_drop_winrate,large_drop_trades,best_drop_threshold,vol_drop_winrate,vol_drop_trades,rsi2_winrate,rsi2_trades,ml_accuracy,ml_auc,predictability_score,recommendation
ADANIPOWER,4106,0.6471,17,-0.1,0.5926,27,0.6415,53,0.5142,0.5325,57.26,LOW
AXISBANK,6839,0.7,10,-0.1,0.5455,33,0.7544,114,0.4838,0.4948,57.24,LOW
BHARATFORG,7597,0.5266,207,-0.05,0.6216,37,0.7568,111,0.4769,0.5067,57.21,LOW
SUZLON,5051,0.6452,31,-0.1,0.4915,59,0.5932,59,0.5411,0.522,57.12,LOW
TCS,5874,0.6667,3,-0.1,0.5357,28,0.7526,97,0.5309,0.5323,57.12,LOW
SHREECEM,6163,0.5395,76,-0.05,0.5,10,0.7328,116,0.524,0.5312,57.08,LOW
ULTRACEMCO,5873,0.5,68,-0.05,0.6111,18,0.7216,97,0.4986,0.5455,57.03,LOW
LTF,3613,0.6429,28,-0.07,0.5909,22,0.6458,48,0.4718,0.5193,56.99,LOW
BSE,2269,0.6364,11,-0.07,0.6,10,0.5833,36,0.5215,0.5899,56.91,LOW
ADANIPORTS,4529,0.6154,13,-0.1,0.6774,31,0.6667,75,0.5,0.5206,56.9,LOW
SUNPHARMA,7601,0.72,25,-0.08,0.4884,43,0.6696,115,0.4609,0.4829,56.89,LOW
BOSCHLTD,5905,0.6173,81,-0.04,0.5,14,0.6458,96,0.4741,0.5002,56.83,LOW
ICICIBANK,5903,0.7,10,-0.1,0.5909,22,0.717,106,0.4596,0.4852,56.8,LOW
GLENMARK,5906,0.5218,458,-0.03,0.5385,39,0.7885,104,0.4964,0.5148,56.75,LOW
ASIANPAINT,5903,0.7143,7,-0.08,0.5455,11,0.6535,101,0.4967,0.4918,56.64,LOW
ONGC,7598,0.6667,24,-0.1,0.5,38,0.6542,107,0.4692,0.5647,56.64,LOW
RELIANCE,7598,0.625,8,-0.1,0.6316,19,0.6587,126,0.5252,0.5218,56.57,LOW
SAMMAANCAP,3136,0.5652,46,-0.08,0.5152,33,0.7447,47,0.4881,0.5027,56.47,LOW
CONCOR,5903,0.75,8,-0.1,0.2941,17,0.7303,89,0.5331,0.539,56.43,LOW
EXIDEIND,5906,0.6667,3,-0.1,0.5652,23,0.7123,73,0.5205,0.497,56.37,LOW
TORNTPHARM,5906,0.5,116,-0.04,0.5385,13,0.7684,95,0.4903,0.5564,56.36,LOW
BANKBARODA,5903,0.5938,32,-0.08,0.6154,26,0.6818,88,0.455,0.5249,56.31,LOW
COFORGE,5341,0.5882,34,-0.08,0.5,28,0.6265,83,0.5445,0.5202,56.23,LOW
SOLARINDS,4939,0.7,10,-0.1,0.5333,15,0.6977,86,0.4917,0.4633,56.22,LOW
JINDALSTEL,6629,0.5468,481,-0.04,0.537,54,0.6979,96,0.476,0.5219,56.17,LOW
DELHIVERY,961,0.6667,3,-0.1,0.4286,7,0.7143,7,0.4606,0.7147,56.11,LOW
CGPOWER,5906,0.5517,58,-0.07,0.5,40,0.6875,80,0.487,0.533,56.1,LOW
NMDC,4462,0.6,10,-0.1,0.6522,23,0.7213,61,0.461,0.5696,56.07,LOW
GRASIM,5903,0.5505,109,-0.04,0.5263,19,0.72,100,0.4833,0.4818,55.92,LOW
NESTLEIND,5876,0.75,4,-0.07,0.5,6,0.4928,69,0.5094,0.521,55.88,LOW
APLAPOLLO,3534,0.6,20,-0.06,0.6,5,0.6935,62,0.4772,0.532,55.84,LOW
NAUKRI,4782,0.75,4,-0.1,0.3478,23,0.6184,76,0.5341,0.5434,55.8,LOW
IOC,7523,0.625,32,-0.08,0.4286,35,0.6339,112,0.5261,0.5248,55.74,LOW
UNIONBANK,5844,0.6471,17,-0.1,0.5278,36,0.6429,84,0.5104,0.4997,55.71,LOW
TITAN,7601,0.5789,19,-0.1,0.56,50,0.6555,119,0.5285,0.5519,55.71,LOW
GODREJCP,5906,0.6154,26,-0.06,0.4286,14,0.6939,98,0.5213,0.5461,55.65,LOW
INOXWIND,2719,0.5625,64,-0.06,0.5882,17,0.5556,27,0.4675,0.5088,55.57,LOW
GODREJPROP,4017,0.6667,6,-0.1,0.4667,15,0.5818,55,0.5384,0.5771,55.54,LOW
IDFCFIRSTB,2574,0.7,10,-0.08,0.5833,12,0.5385,26,0.4841,0.483,55.48,LOW
TATASTEEL,7601,0.542,238,-0.05,0.5161,31,0.6774,93,0.4635,0.541,55.48,LOW
FEDERALBNK,7600,0.5556,36,-0.08,0.6053,38,0.6496,117,0.4766,0.5143,55.47,LOW
TRENT,5903,0.6667,6,-0.1,0.6,15,0.6105,95,0.5128,0.4622,55.46,LOW
LODHA,1233,0.6316,19,-0.06,0.5385,13,0.7059,17,0.4578,0.534,55.44,LOW
YESBANK,5119,0.5,124,-0.06,0.4857,35,0.7273,77,0.5311,0.5057,55.42,LOW
COLPAL,5906,0.8,5,-0.07,0.3333,9,0.6495,97,0.4852,0.4708,55.19,LOW
TECHM,4840,0.4878,82,-0.05,0.4118,17,0.7812,64,0.5286,0.5558,55.17,LOW
BLUESTARCO,5903,0.5,14,-0.08,0.8333,12,0.6042,96,0.4908,0.5292,55.15,LOW
ETERNAL,1145,0.6,5,-0.1,0.3846,13,0.8,15,0.5769,0.5621,55.12,LOW
